age,A,n,events,non_events,sparse
15,0,39327,3098,36229,FALSE
15,1,834,56,778,FALSE
16,0,95507,7642,87865,FALSE
16,1,2875,169,2706,FALSE
17,0,187989,15356,172633,FALSE
17,1,8005,529,7476,FALSE
18,0,348431,29290,319141,FALSE
18,1,21459,1496,19963,FALSE
19,0,592357,51104,541253,FALSE
19,1,42842,3023,39819,FALSE
20,0,775565,66443,709122,FALSE
20,1,58490,4011,54479,FALSE
21,0,902963,75614,827349,FALSE
21,1,69917,4727,65190,FALSE
22,0,1040835,86534,954301,FALSE
22,1,80425,5299,75126,FALSE
23,0,1155085,96271,1058814,FALSE
23,1,87579,5763,81816,FALSE
24,0,1267945,104899,1163046,FALSE
24,1,93039,6182,86857,FALSE
25,0,1388184,114921,1273263,FALSE
25,1,97544,6468,91076,FALSE
26,0,1500618,123690,1376928,FALSE
26,1,99144,6873,92271,FALSE
27,0,1606409,131277,1475132,FALSE
27,1,98722,6991,91731,FALSE
28,0,1705051,138186,1566865,FALSE
28,1,96204,7173,89031,FALSE
29,0,1776739,142474,1634265,FALSE
29,1,91192,7286,83906,FALSE
30,0,1806407,144384,1662023,FALSE
30,1,84694,7017,77677,FALSE
31,0,1808754,143071,1665683,FALSE
31,1,77417,6800,70617,FALSE
32,0,1728416,136624,1591792,FALSE
32,1,69677,6408,63269,FALSE
33,0,1603626,127225,1476401,FALSE
33,1,61869,6013,55856,FALSE
34,0,1454562,117211,1337351,FALSE
34,1,53713,5490,48223,FALSE
35,0,1275843,103716,1172127,FALSE
35,1,45520,4904,40616,FALSE
36,0,1065105,89004,976101,FALSE
36,1,38240,4272,33968,FALSE
37,0,852422,74132,778290,FALSE
37,1,30363,3596,26767,FALSE
38,0,664835,59830,605005,FALSE
38,1,23415,3000,20415,FALSE
39,0,508801,47784,461017,FALSE
39,1,17682,2324,15358,FALSE
40,0,363545,35605,327940,FALSE
40,1,12296,1686,10610,FALSE
41,0,247312,24862,222450,FALSE
41,1,8133,1142,6991,FALSE
42,0,158387,16895,141492,FALSE
42,1,4893,769,4124,FALSE
43,0,94369,10639,83730,FALSE
43,1,2516,379,2137,FALSE
44,0,52459,6231,46228,FALSE
44,1,1320,233,1087,FALSE
45,0,28117,3513,24604,FALSE
45,1,524,79,445,FALSE
